n_trial,uncertainty,share,Predicted_MC_1up,mc_model,Instr,ID,Predicted_MC,Old1
18,12,6,0,-429,1,6,-429,0
19,98,6,1,-430,1,6,437,0
20,71,6,1,434,1,6,434,0
21,47,6,1,-429,1,6,461,0
22,78,6,1,449,1,6,449,0
24,3,6,0,-463,1,6,-463,0
25,65,6,1,-440,1,6,488,0
27,58,6,0,-443,1,6,-478,0
28,58,6,0,-447,1,6,-447,0
29,18,6,1,418,1,6,418,0
30,62,6,1,-434,1,6,470,0
32,86,6,1,465,1,6,492,0
33,53,6,0,-455,1,6,-455,0
34,10,6,0,-456,1,6,-456,0
35,88,6,0,-463,1,6,-463,0
36,75,6,1,405,1,6,405,0
37,14,6,1,415,1,6,415,0
38,74,6,1,495,1,6,421,0
40,36,6,0,-438,1,6,-438,0
41,32,6,0,-437,1,6,-437,0
42,4,6,1,413,1,6,413,0
43,21,6,0,-431,1,6,-431,0
44,88,6,0,448,1,6,-479,0
46,30,6,1,-496,1,6,459,0
47,19,6,0,-452,1,6,-452,0
48,47,6,0,-420,1,6,-451,0
1,56,6,0,458,0,7,-420,0
2,75,6,0,-411,0,7,-438,0
3,84,6,1,436,0,7,433,0
4,15,6,0,-456,0,7,-456,0
5,12,6,0,-458,0,7,-458,0
7,1,6,0,-487,0,7,-487,0
8,24,6,1,402,0,7,402,0
9,55,6,0,-477,0,7,-477,0
11,23,6,0,-425,0,7,-425,0
12,87,6,1,-499,0,7,468,0
13,42,6,1,490,0,7,490,0
14,89,6,1,412,0,7,434,0
15,93,6,1,-419,0,7,463,0
17,75,6,1,-496,0,7,471,0
18,6,6,0,-445,0,7,-445,0
19,96,6,0,437,0,7,-449,0
20,93,6,0,-480,0,7,-449,0
21,95,6,0,-486,0,7,-431,0
22,69,6,1,414,0,7,414,0
24,33,6,0,-459,0,7,-459,0
25,78,6,1,-412,0,7,475,0
27,7,6,1,493,0,7,493,0
28,23,6,0,-463,0,7,-463,0
29,17,6,0,-406,0,7,-406,0
30,39,6,0,-428,0,7,-428,0
32,80,6,1,472,0,7,490,0
33,94,6,0,456,0,7,-438,0
34,36,6,1,484,0,7,422,0
35,38,6,1,456,0,7,456,0
36,60,6,0,-445,0,7,-445,0
37,70,6,1,402,0,7,441,0
38,58,6,0,433,0,7,-424,0
40,13,6,0,-433,0,7,-433,0
41,30,6,1,459,0,7,459,0
42,74,6,1,439,0,7,439,0
43,15,6,0,-458,0,7,-458,0
44,59,6,0,402,0,7,-424,0
46,82,6,1,-482,0,7,464,0
47,60,6,0,-463,0,7,-463,0
48,7,6,0,-468,0,7,-468,0
1,66,6,1,408,1,7,460,0
2,86,6,0,476,1,7,-485,0
3,68,6,1,-448,1,7,433,0
4,47,6,0,425,1,7,-409,0
5,2,6,1,450,1,7,450,0
7,32,6,1,416,1,7,416,0
8,91,6,0,-436,1,7,-436,0
9,33,6,0,402,1,7,-491,0
11,3,6,0,-407,1,7,-407,0
12,93,6,1,403,1,7,478,0
13,83,6,0,430,1,7,-405,0
