n_trial,uncertainty,seek,mc_model,Instr
41,1,0,-487,1
42,64,6,-494,1
43,2,0,-472,1
44,87,0,439,1
46,16,0,440,1
47,82,0,-422,1
48,63,6,441,1
1,4,6,472,1
2,92,6,471,1
3,96,6,-448,1
4,96,6,438,1
5,73,6,488,1
7,38,6,-496,1
8,62,6,410,1
9,88,6,497,1
11,25,6,405,1
12,47,6,-473,1
13,3,6,486,1
14,78,6,-479,1
15,94,6,-485,1
17,50,6,474,1
18,52,6,-422,1
19,31,6,432,1
20,48,6,490,1
21,98,6,419,1
22,69,6,406,1
24,11,6,496,1
25,87,6,481,1
27,77,6,424,1
28,38,6,-432,1
29,16,6,-431,1
30,26,6,498,1
32,80,6,402,1
33,38,6,471,1
34,73,6,428,1
35,21,6,-449,1
36,39,6,404,1
37,94,6,-441,1
38,68,6,-408,1
40,77,6,422,1
41,69,6,495,1
42,67,6,-488,1
43,45,6,-447,1
44,80,6,453,1
46,29,6,-470,1
47,59,6,-418,1
48,50,6,-401,1
1,59,6,-424,1
2,42,6,-491,1
3,66,6,471,1
4,63,6,-440,1
5,49,6,484,1
7,1,6,434,1
8,97,6,-426,1
9,15,6,-413,1
11,6,6,472,1
12,50,6,-468,1
13,67,6,-417,1
14,19,6,-457,1
15,58,6,474,1
17,75,6,-465,1
18,75,6,411,1
19,67,6,458,1
20,20,6,446,1
21,22,6,479,1
22,31,6,-473,1
24,45,6,436,1
25,56,6,-428,1
27,39,6,499,1
28,38,6,486,1
29,85,6,420,1
30,32,6,-432,1
32,55,6,488,1
33,26,6,423,1
34,13,6,-450,1
35,98,6,-417,1
36,80,6,433,1
37,50,6,439,1
38,21,6,495,1
40,57,6,-488,1
41,80,6,458,1
42,96,6,440,1
43,99,6,422,1
44,32,6,-419,1
46,36,6,-469,1
47,99,6,493,1
48,62,6,-460,1
1,27,6,-435,1
2,31,5,444,1
3,57,5,-453,1
4,59,4,-460,1
5,14,6,477,1
7,24,6,-420,1
