n_trial,uncertainty,seek,Market_change_1up,mc_model,Instr,Task1Seek,check,ID
7,18,5,1,457,0,1,3,5ce9b0e4be5a6b00163f6870
8,70,4,1,425,0,1,3,5ce9b0e4be5a6b00163f6870
9,70,5,0,-456,0,1,3,5ce9b0e4be5a6b00163f6870
11,30,1,0,-471,0,1,3,5ce9b0e4be5a6b00163f6870
12,75,3,1,402,0,1,3,5ce9b0e4be5a6b00163f6870
13,38,4,1,415,0,1,3,5ce9b0e4be5a6b00163f6870
14,27,5,1,423,0,1,3,5ce9b0e4be5a6b00163f6870
15,75,5,0,-477,0,1,3,5ce9b0e4be5a6b00163f6870
17,67,3,1,417,0,1,3,5ce9b0e4be5a6b00163f6870
18,41,5,1,494,0,1,3,5ce9b0e4be5a6b00163f6870
19,56,4,0,-477,0,1,3,5ce9b0e4be5a6b00163f6870
20,15,6,1,433,0,1,3,5ce9b0e4be5a6b00163f6870
21,85,2,1,405,0,1,3,5ce9b0e4be5a6b00163f6870
22,42,3,0,-435,0,1,3,5ce9b0e4be5a6b00163f6870
24,2,6,1,490,0,1,3,5ce9b0e4be5a6b00163f6870
25,36,2,0,-414,0,1,3,5ce9b0e4be5a6b00163f6870
27,19,1,0,-428,0,1,3,5ce9b0e4be5a6b00163f6870
28,90,5,0,-476,0,1,3,5ce9b0e4be5a6b00163f6870
29,17,2,0,-451,0,1,3,5ce9b0e4be5a6b00163f6870
30,92,6,0,-433,0,1,3,5ce9b0e4be5a6b00163f6870
32,84,5,0,-492,0,1,3,5ce9b0e4be5a6b00163f6870
33,79,1,1,487,0,1,3,5ce9b0e4be5a6b00163f6870
34,91,2,1,438,0,1,3,5ce9b0e4be5a6b00163f6870
35,78,4,1,474,0,1,3,5ce9b0e4be5a6b00163f6870
36,78,5,0,-416,0,1,3,5ce9b0e4be5a6b00163f6870
37,53,3,0,-452,0,1,3,5ce9b0e4be5a6b00163f6870
38,49,3,0,-492,0,1,3,5ce9b0e4be5a6b00163f6870
40,43,2,1,480,0,1,3,5ce9b0e4be5a6b00163f6870
41,48,4,0,-419,0,1,3,5ce9b0e4be5a6b00163f6870
42,11,3,1,445,0,1,3,5ce9b0e4be5a6b00163f6870
43,25,5,1,491,0,1,3,5ce9b0e4be5a6b00163f6870
44,30,5,1,491,0,1,3,5ce9b0e4be5a6b00163f6870
46,81,2,1,441,0,1,3,5ce9b0e4be5a6b00163f6870
47,10,1,0,-487,0,1,3,5ce9b0e4be5a6b00163f6870
48,84,4,1,482,0,1,3,5ce9b0e4be5a6b00163f6870
1,22,6,0,-466,1,1,4,5ce9b0e4be5a6b00163f6870
2,84,6,1,438,1,1,4,5ce9b0e4be5a6b00163f6870
